City,Cost_Scale,Euro
Aalborg,€€€€,no
Aarhus,€€€€,no
Aberdeen,€€€,no
Adana,€€,no
Akureyri,€€€€,no
Alanya,€€,no
Ålesund,€€€€,no
Alghero,€€€,yes
Alicante,€€,yes
Almería,€€,yes
Alta,€€€€,no
Amasya,€,no
Amsterdam,€€€€,yes
Ancona,€€€,yes
Andenes,€€€,no
Ankara,€,no
Antalya,€,no
Asturias,€€,yes
Athens,€€,yes
Bacău,€€,no
Baden-Baden,€€,yes
Baku,€,no
Banja Luka,€,no
Barcelona,€€€,yes
Bardufoss,€€€,no
Bari,€€,yes
Basel,€€€€,no
Batman,€€,no
Batumi,€,no
Beauvais,€€,yes
Belfast,€€€,no
Belgrade,€€,no
Bergamo,€€€,yes
Bergen,€€€€,no
Bergerac,€€,yes
Berlin,€€€,yes
Béziers,€€,yes
Biarritz,€€,yes
Bilbao,€€,yes
Billund,€€€€,no
Bingöl,€€,no
Birmingham,€€€,no
Bodø,€€€€,no
Bodrum,€,no
Bologna,€€€,yes
Bordeaux,€€€,yes
Bournemouth,€€€,no
Brașov,€,no
Bratislava,€€,yes
Bremen,€€€,yes
Brindisi,€€€,yes
Bristol,€€€,no
Brive-la-Gaillarde,€€,yes
Brno,€€,no
Brussels,€€€€,yes
Bucharest,€€,no
Budapest,€€,no
Burgas,€,no
Bydgoszcz,€€,no
Cagliari,€€€,yes
Carcassonne,€€,yes
Cardiff,€€€,no
Castellón de la Plana,€€,yes
Catania,€€,yes
Châlons,€€,yes
Chania,€€,yes
Charleroi,€€€€,yes
Chişinău,€,no
Clermont-Ferrand,€€,yes
Cluj-Napoca,€,no
Cologne/Bonn,€€€,yes
Comiso,€€€,yes
Constanta,€€,no
Copenhagen,€€€€,no
Corfu,€€,yes
Cork,€€€€,yes
Craiova,€€,no
Crawley,€€€,no
Crotone,€€€,yes
Cuneo,€€€,yes
Dalaman,€€,no
Debrecen,€,no
Denizli,€€€,no
Derry,€€€,no
Diyarbakir,€€,no
Dole,€€,yes
Dortmund,€€,yes
Douglas,€€€,no
Dresden,€€€,yes
Dublin,€€€€,yes
Düsseldorf,€€€,yes
Edinburgh,€€€€,no
Edremit,€,no
Eindhoven,€€€,yes
Elazığ,€€€,no
Erzincan,€,no
Erzurum,€€,no
Evenes,€€€€,no
Exeter,€€€,no
Faro,€€,yes
Forlì,€€€,yes
Frankfurt,€€€,yes
Friedrichshafen,€€,yes
Fuerteventura,€€,yes
Funchal,€€,yes
Ganja,€€,no
Gaziantep,€€,no
Gdańsk,€€,no
Geneva,€€€€,no
Genoa,€€€,yes
Gibraltar,€€€,no
Girona,€€,yes
Glasgow,€€€,no
Gothenburg,€€€,no
Gran Canaria,€€,yes
Granada,€€,yes
Grozny,€€,no
Hahn,€€€€,yes
Hamburg,€€€€,yes
Hanover,€€€,yes
Haugesund,€€€€,no
Helsinki,€€€€,yes
Iași,€,no
Ibiza,€€,yes
Iğdır,€€,no
Innsbruck,€€€,yes
Inverness,€€€,no
Istanbul,€,no
İzmir,€,no
Jerez de la Frontera,€€,yes
Jersey,€€€,no
Kahramanmaraş,€€,no
Kars,€,no
Katowice,€€,no
Kaunas,€€,yes
Kayseri,€€,no
Kemi / Tornio,€€€,yes
Kerry,€€,yes
Kirkenes,€€€€,no
Kiruna,€€,no
Klagenfurt,€€€,yes
Knock,€€€€,yes
Konya,€€,no
Košice,€€,yes
Krakow,€€,no
Kristiansand,€€€€,no
Kütahya,€€€,no
Kutaisi,€€,no
La Palma,€€€,yes
La Rochelle,€€,yes
Lakselv,€€€,no
Lamezia Terme,€€€,yes
Lampedusa,€,yes
Lanzarote,€€,yes
Larnaca,€€€,yes
Las Palmas,€€,yes
Leeds,€€€,no
Leipzig,€€€,yes
Lille,€€€,yes
Limoges,€€,yes
Linz,€€€,yes
Lisbon,€€,yes
Liverpool,€€€,no
Ljubljana,€€,yes
Łódź,€€,no
London,€€€€,no
Longyearbyen,€€€€,no
Lublin,€,no
Luleå,€€,no
Luqa,€€€,yes
Luxembourg City,€€€€,yes
Lyon,€€€€,yes
Maastricht,€€€,yes
Madrid,€€€,yes
Málaga,€€,yes
Malatya,€€,no
Malmö,€€€,no
Manchester,€€€,no
Mardin,€€,no
Marseille,€€€,yes
Memmingen,€€,yes
Menorca,€€,yes
Milan,€€€,yes
Mineralnye Vody,€€,no
Molde,€€€€,no
Montpellier,€€€,yes
Moscow,€,no
Munich,€€€€,yes
Münster,€€,yes
Murcia,€€,yes
Muş,€,no
Nantes,€€€,yes
Naples,€€€,yes
Newcastle upon Tyne,€€€,no
Newquay,€€€,no
Nice,€€€,yes
Nîmes,€€,yes
Niš,€€,no
North Nicosia,€€,no
Norwich,€€€,no
Nuremberg,€€€,yes
Ohrid,€,no
Olbia,€€€,yes
Olsztyn,€,no
Ordu,€,no
Oslo,€€€€,no
Ostrava,€€,no
Oulu,€€€€,yes
Paderborn,€€,yes
Palanga,€€€,yes
Palermo,€€,yes
Palma de Mallorca,€€,yes
Paphos,€€€,yes
Paris,€€€€,yes
Parma,€€€,yes
Perpignan,€€,yes
Perugia,€€€,yes
Pescara,€€€,yes
Pisa,€€€,yes
Plovdiv,€,no
Podgorica,€,yes
Poitiers,€€,yes
Ponta Delgada,€€,yes
Poprad,€€,yes
Porto,€€,yes
Porto Santo,€€,yes
Poznań,€€,no
Prague,€€,no
Pristina,€,yes
Reggio Calabria,€€€,yes
Rennes,€€€,yes
Reus,€€,yes
Reykjavík,€€€€,no
Rhodes,€€€,yes
Riga,€€,yes
Rize,€,no
Rome,€€€,yes
Rotterdam,€€€,yes
Rovaniemi,€€€,yes
Rzeszów,€,no
Saint Petersburg,€,no
Salerno,€€€,yes
Salzburg,€€€€,yes
Samsun,€€,no
Sandefjord,€€€€,no
Şanlıurfa,€€,no
Santander,€€,yes
Santiago de Compostela,€€,yes
Sarajevo,€,no
Satu Mare,€€,no
Seville,€€,yes
Shannon,€€,yes
Sibiu,€,no
Sinop,€,no
Sivas,€,no
Skellefteå,€€,no
Skopje,€,no
Sofia,€€,no
Southampton,€€€,no
Stavanger,€€€€,no
Stockholm,€€€,no
Strasbourg,€€€,yes
Stuttgart,€€€,yes
Suceava,€€,no
Szczecin,€€,no
Tallinn,€€€,yes
Tarbes,€€,yes
Târgu Mureş,€€,no
Tbilisi,€,no
Teesside,€€€,no
Tekirdağ,€,no
Tenerife,€€,yes
Terceira Island,€€,yes
Thessaloniki,€€,yes
Timișoara,€,no
Tirana,€€,no
Toulon,€€€,yes
Toulouse,€€€,yes
Tours,€€,yes
Trabzon,€€€,no
Trapani,€€€,yes
Treviso,€€€,yes
Trieste,€€,yes
Tromsø,€€€€,no
Trondheim,€€€€,no
Turin,€€€,yes
Turku,€€€€,yes
Tuzla,€€,no
Umeå,€€,no
Valencia,€€,yes
Valladolid,€€,yes
Valletta,€,yes
Van,€€,no
Varna,€,no
Växjö,€€,no
Venice,€€,yes
Verona,€€,yes
Vienna,€€€€,yes
Vigo,€€,yes
Vilnius,€€,yes
Vitoria-Gasteiz,€€,yes
Warsaw,€€,no
Weeze,€€,yes
Wrocław,€€,no
Yerevan,€€,no
Zagreb,€€,yes
Zaragoza,€€,yes
Zurich,€€€€,no